indice_tiempo,emae_original,emae_desestacionalizada,emae_tendencia_ciclo,emae_original_via,emae_desestacionalizada_vm,emae_tendencia_ciclo_vm
2004-01-01,92.62750602691052,98.16044516477332,95.95237304041072,,,
2004-02-01,90.18617931655959,98.0796145076147,96.57552319811663,,-0.0008234544680694,0.00649436942475063
2004-03-01,101.88329804238073,97.71345388608746,97.26544484821585,,-0.003733299966210808,0.007143856199297147
2004-04-01,102.5674302511826,95.14316804503787,97.98301195813784,,-0.026304318789570118,0.007377410456938378
2004-05-01,109.87750394051662,96.99556090312956,98.72752049481954,,0.019469530983189855,0.007598343037258104
2004-06-01,105.66240620209851,98.76669065318809,99.49650824785972,,0.018259905232440303,0.007788990842533536
2004-07-01,101.1069972900212,100.80719976769454,100.2896435370531,,0.02065989151819963,0.007971488679960288
2004-08-01,98.35573694243757,102.0578510026711,101.10257836329184,,0.012406368174680153,0.008105870133423992
2004-09-01,98.08637453469638,102.34479258463925,101.92858666165338,,0.002811558142260253,0.008170002305909918
2004-10-01,97.8356659809799,103.20051321959635,102.7571808430822,,0.008361154616141562,0.008129163844675703
2004-11-01,100.1319466812214,103.79139081819991,103.56971930819873,,0.005725529652611954,0.007907364317023564
2004-12-01,101.67895479099535,102.93931944736788,104.35190949916037,,-0.008209460959286333,0.007552305791560912
2005-01-01,98.473359529179,105.67358456265623,105.09283760290774,0.06311142071092916,0.026561911716216146,0.007100283140993468
2005-02-01,96.11886613343405,106.0389685264404,105.78749125827696,0.06578266051220921,0.0034576660316423613,0.0066099048347516036
2005-03-01,110.65642586719524,106.8202826175079,106.43598652156356,0.08610957824672226,0.007368178905594363,0.006130169602976281
2005-04-01,116.54519048214907,107.9805567020316,107.0457608423753,0.13627874069512727,0.01086192674361584,0.00572902399592266
2005-05-01,126.66194335502726,109.15933121497399,107.62708862442231,0.15275592193646007,0.01091654413484065,0.005430647392968808
2005-06-01,116.50222321492875,108.54857874970355,108.19279295398417,0.10258915542863108,-0.005595055030775597,0.005256151929705624
2005-07-01,107.58113926245956,109.0273355942609,108.75701923826074,0.06403258079030437,0.004410530751040937,0.0052150080321573
2005-08-01,105.82089279310111,109.28315571022766,109.332716233095,0.07589954671411277,0.0023463851021617186,0.005293423807184609
2005-09-01,104.89213472672316,109.32282098051445,109.93221715363691,0.06938537818644079,0.0003629586831475251,0.005483271075638499
2005-10-01,104.46066538498441,109.98863525551053,110.56327002987008,0.06771558549304985,0.006090350294882541,0.0057403815967001035
2005-11-01,108.00375438454834,111.31271164352117,111.23231353397438,0.0786143480101063,0.012038301820317373,0.0060512275362654576
2005-12-01,110.50332389924424,113.06395761058485,111.94176893193915,0.08678658357953893,0.015732668274869042,0.00637814116621854
2006-01-01,106.53094787692405,113.79909077883794,112.68913414095482,0.08182505792703722,0.006501923192756323,0.00667637483440231
2006-02-01,104.0901370432872,114.69248968872934,113.46938880738657,0.08293138725531037,0.007850668259095955,0.006923956532098145
2006-03-01,118.58827645043104,114.25526394654554,114.27690223558923,0.07167998171886779,-0.0038121566928262496,0.007116575110609063
2006-04-01,122.08710730131627,115.7268951097612,115.10605363813333,0.04755165611073451,0.012880204485844758,0.007255634221119891
2006-05-01,133.37101567477424,115.20535891594307,115.9530882519661,0.052968335571338655,-0.004506611823668862,0.007358732117562141
2006-06-01,124.29274775102324,116.30539489394059,116.81368522913664,0.06687017913574195,0.009548479240450262,0.007421940977548189
2006-07-01,117.04563185352679,118.06539736119868,117.68464130777437,0.08797538914304709,0.015132595258053385,0.007455942143502341
2006-08-01,116.30360797574892,118.77196861940578,118.56713775936961,0.09906092177036725,0.005984575277763185,0.007498824330757828
2006-09-01,114.80248033323909,119.8022624802216,119.46270273859172,0.09448130341074162,0.008674554044964254,0.007553230989176996
2006-10-01,116.47750825324563,120.61787626288924,120.3708212151143,0.115037012486698,0.006807999830573266,0.007601690366153377
2006-11-01,118.14078229406633,120.69828005189578,121.29256893537698,0.09385810676011318,0.0006665992761412554,0.0076575677639966954
2006-12-01,119.60317208093002,123.3931369249889,122.22430022066692,0.08234909015029217,0.02232721851491533,0.00768168481769365
2007-01-01,114.70176482722367,122.03211458216718,123.16161241765285,0.07669899792630616,-0.011029967928030545,0.007668787592104706
2007-02-01,112.74324828605302,124.59998449803984,124.10138034106151,0.08313094293619101,0.021042574937465874,0.007630363917466667
2007-03-01,129.28276498944658,126.43790731593349,125.04136893170997,0.09018166769196398,0.0147505862484482,0.007574360479030417
2007-04-01,133.46308313008805,125.29836082655933,125.97809064620219,0.093179174117832,-0.009012696536701838,0.0074912944611457985
2007-05-01,147.60791074167543,127.36202841574494,126.90702877665427,0.10674654455371253,0.016470028622658502,0.007373807030151908
2007-06-01,136.12098630494512,128.41869096670453,127.82779001232468,0.09516435003605835,0.008296527341024672,0.007255399835188569
2007-07-01,127.38755189795539,127.78058490763266,128.73759339493438,0.08835801798541866,-0.004968950035764834,0.007117414628868772
2007-08-01,126.59522767863001,128.71747279314255,129.6323565846486,0.08848925568179339,0.007332004984850613,0.0069502867508894894
2007-09-01,123.5104632944452,129.59031258993318,130.50594153963536,0.07585187128300092,0.006781051382148746,0.006738942174643939
2007-10-01,128.41538266104467,131.28259077333016,131.3474593658618,0.10249081206170445,0.013058678149437668,0.006448118884846821
2007-11-01,129.73508945617357,132.71330073508764,132.1412774463859,0.09813975273371427,0.010897941252757021,0.006043650058833521
2007-12-01,128.89792837498598,134.22805339739477,132.86501929876374,0.07771329248497366,0.011413721563076535,0.005477030844290596
